id,craftingXp,crafting,role,rarity,tokenId,ownerId,atlas_deposit_unlocking,balance
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x1016,30,2,Spellcaster,Common,4118,0x9056ab0db92ba9fdedb1534cfc975e46a0579678,,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x102,50,2,Ranged,Common,258,0x449d9bab5855d53864969defeeaf0148f7c104f2,211626.78978672595,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x103,50,2,Ranged,Common,259,0x449d9bab5855d53864969defeeaf0148f7c104f2,211626.78978672595,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x14a,10,2,Assassin,Common,330,0x85591bfabb18be044fa98d72f7093469c588483c,1000.0,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x16d,30,2,Assassin,Common,365,0x4fdef02eb19f06cf2406cabad62383515419607e,,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x1fa,30,2,Assassin,Common,506,0x8a14b7523cc6a17cc88043422cdc31cafc698735,10000.0,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x23d,10,2,Spellcaster,Common,573,0xee7c6be1d0859ebf50ca73772cbbe85c774bbb88,,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x258,20,2,Fighter,Common,600,0x28d97add070d26e55c5e4a5f863f1f5fee7621df,,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x25ea,20,2,Assassin,Common,9706,0x11099ac9cc097d0c9759635b8e16c6a91ecc43da,,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2605,10,2,Assassin,Common,9733,0x4e4885c3d64ec6f3512e9693688340eee3157dbb,,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2610,50,2,Spellcaster,Common,9744,0x5426f039c05b65dba6ce6e775f1bc24cd057e51a,,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x261e,50,2,Spellcaster,Common,9758,0x5cc15a41774830d9e6d6c7ddee6c6c957932caa1,70000.0,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2623,10,2,Siege,Rare,9763,0xaa0dee58a36b72c774317eb5f71afb2a04c85527,99999.99999999999,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2624,60,2,Siege,Common,9764,0xda3afa011e9dd20e6571ee70cb3d150b272ff9c0,,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2648,40,2,Siege,Uncommon,9800,0xbeb8fd4683595145189b8a2b6168a711b4d44fc6,3000.0,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x266e,30,2,Assassin,Common,9838,0xf219904c26044db624b01ce7bee8bf98e64ec619,170000.0,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x266f,40,2,Siege,Common,9839,0xf219904c26044db624b01ce7bee8bf98e64ec619,170000.0,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2670,50,2,Ranged,Common,9840,0xf219904c26044db624b01ce7bee8bf98e64ec619,170000.0,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2696,60,2,Spellcaster,Uncommon,9878,0x3a6bfe2b87b4b7d8ec76142d0ada23fce10b74b0,496110.97440623934,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2698,40,2,Spellcaster,Uncommon,9880,0x3a6bfe2b87b4b7d8ec76142d0ada23fce10b74b0,496110.97440623934,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x26c2,50,2,Ranged,Uncommon,9922,0x8bced9d03f4c3bc59a0bcf91933191285af67268,510000.0,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x26c4,60,2,Ranged,Rare,9924,0x8bced9d03f4c3bc59a0bcf91933191285af67268,510000.0,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x26d7,60,2,Spellcaster,Common,9943,0x7114aa86e6ee374ad614c6b4dce8dbdb8555465d,99999.99999999999,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x26d9,10,2,Ranged,Common,9945,0xc38da808d0865005312fe99387f5228881539e9f,,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2706,70,2,Spellcaster,Common,9990,0x8ff55b93a1ed400e8bc44dc0026459209700a704,,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2718,60,2,Assassin,Common,10008,0x5c620c6daa7f78921a643640e88350917a2972f1,30000.0,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2719,50,2,Siege,Common,10009,0x5c620c6daa7f78921a643640e88350917a2972f1,30000.0,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2722,40,2,Ranged,Common,10018,0x95ad72b8f2138df54bb9c1456b47504e40e201ff,,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2723,40,2,Ranged,Common,10019,0x95ad72b8f2138df54bb9c1456b47504e40e201ff,,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2725,30,2,Ranged,Common,10021,0x6f8973809b94030dd4c930fd1182e5d5dcdcf9f0,99999.99999999999,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x272f,70,2,Siege,Common,10031,0x1e38f19ec613cfcb06d23fd71d01c9dc1feba45e,1500.0,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x273e,50,2,Ranged,Common,10046,0x668e961736454a2444adb485340cb7f0844ddd3d,,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2743,50,2,Spellcaster,Common,10051,0xd77a8cde26afb5b711f0e25c23a48562d5259bf3,62709.032493826424,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x274f,40,2,Spellcaster,Rare,10063,0x52cd47933c3428e5ae8f442a47f904c390942dce,76000.0,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x275e,70,2,Fighter,Common,10078,0x8ff55b93a1ed400e8bc44dc0026459209700a704,,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x275f,70,2,Ranged,Common,10079,0x8ff55b93a1ed400e8bc44dc0026459209700a704,,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x277d,20,2,Siege,Rare,10109,0xf6818a153a9950c1da39bb1eadfb7437f7329ad4,,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2788,30,2,Siege,Common,10120,0x95ad72b8f2138df54bb9c1456b47504e40e201ff,,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x279d,50,2,Ranged,Common,10141,0x72959497201a7e931d8460dfa28935ca8db2a91d,,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x279e,30,2,Fighter,Common,10142,0x72959497201a7e931d8460dfa28935ca8db2a91d,,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x27a1,40,2,Fighter,Common,10145,0x658cd0c3d10179763f5cdafaab558bd7b6f40a7f,,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x27a4,20,2,Fighter,Common,10148,0xf6818a153a9950c1da39bb1eadfb7437f7329ad4,,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x27b2,30,2,Assassin,Common,10162,0x1ce33afd0e70ad410a74e855dd9871f2b31f3eee,,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x27c4,30,2,Fighter,Common,10180,0x95ad72b8f2138df54bb9c1456b47504e40e201ff,,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x27e1,20,2,Siege,Rare,10209,0xd25eb9811fd774f7480ea21e3e3a6f692e39db94,,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x27ec,60,2,Assassin,Uncommon,10220,0xe3cadc86b296e57c55dcb7c9e90936e7517237b3,,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x281,30,2,Ranged,Common,641,0x5cc15a41774830d9e6d6c7ddee6c6c957932caa1,70000.0,0.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2829,60,2,Ranged,Uncommon,10281,0xcce853ecb829d914d119724761e3deb6ad982047,,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2836,40,2,Spellcaster,Common,10294,0x038a2c957a470373ea4ecf91493bcbf2b4a2ec93,,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2837,40,2,Assassin,Common,10295,0x038a2c957a470373ea4ecf91493bcbf2b4a2ec93,,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2838,50,2,Assassin,Common,10296,0x038a2c957a470373ea4ecf91493bcbf2b4a2ec93,,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x283a,50,2,Fighter,Common,10298,0x038a2c957a470373ea4ecf91493bcbf2b4a2ec93,,
