id,craftingXp,crafting,role,rarity,tokenId,ownerId,atlas_deposit_unlocking
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x100d,50,2,Spellcaster,Common,4109,0x21a6f46fe65952d1506b4f5782bff8671e664800,60000.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x1016,80,2,Spellcaster,Common,4118,0x9056ab0db92ba9fdedb1534cfc975e46a0579678,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x102,90,2,Ranged,Common,258,0x449d9bab5855d53864969defeeaf0148f7c104f2,211626.78978672595
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x103,90,2,Ranged,Common,259,0x449d9bab5855d53864969defeeaf0148f7c104f2,211626.78978672595
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x13f,50,2,Assassin,Common,319,0x9f8e5596538ef0e6e4f16fba13b02732c48547ed,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x14a,50,2,Assassin,Common,330,0x85591bfabb18be044fa98d72f7093469c588483c,1000.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x160,40,2,Siege,Common,352,0xda6a11f8983bba1c9c8db95de8f3f149847de65d,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x16d,60,2,Assassin,Common,365,0x4fdef02eb19f06cf2406cabad62383515419607e,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x17b,20,2,Siege,Common,379,0x93ad6e31c0a9ae25d601c02bc649741b114bb327,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x1fa,60,2,Assassin,Common,506,0x8a14b7523cc6a17cc88043422cdc31cafc698735,10000.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x23d,60,2,Spellcaster,Common,573,0xee7c6be1d0859ebf50ca73772cbbe85c774bbb88,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x258,60,2,Fighter,Common,600,0x28d97add070d26e55c5e4a5f863f1f5fee7621df,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x25ea,60,2,Assassin,Common,9706,0x11099ac9cc097d0c9759635b8e16c6a91ecc43da,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x25ec,10,2,Fighter,Common,9708,0xf9c1989eb95dbc89489410cdf3941541937016ff,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2605,50,2,Assassin,Common,9733,0x4e4885c3d64ec6f3512e9693688340eee3157dbb,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2608,10,2,Spellcaster,Common,9736,0xf9c1989eb95dbc89489410cdf3941541937016ff,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x260b,20,2,Assassin,Common,9739,0xbd3bcf36e0df2f0bc502b7c57f1f34b3218cb78b,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2610,80,2,Spellcaster,Common,9744,0x5426f039c05b65dba6ce6e775f1bc24cd057e51a,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x261e,110,2,Spellcaster,Common,9758,0x5cc15a41774830d9e6d6c7ddee6c6c957932caa1,70000.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2620,10,2,Spellcaster,Common,9760,0xf9c1989eb95dbc89489410cdf3941541937016ff,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2623,60,2,Siege,Rare,9763,0xaa0dee58a36b72c774317eb5f71afb2a04c85527,99999.99999999999
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2624,110,2,Siege,Common,9764,0xda3afa011e9dd20e6571ee70cb3d150b272ff9c0,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2639,20,2,Ranged,Common,9785,0xe7436afad54fec84a67be7866ad21f4fb0d3efc6,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x263a,20,2,Assassin,Common,9786,0xe7436afad54fec84a67be7866ad21f4fb0d3efc6,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x263d,10,2,Ranged,Common,9789,0x25de6ee9bb67dca9654259843682be875ab85b5f,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2648,80,2,Siege,Uncommon,9800,0xbeb8fd4683595145189b8a2b6168a711b4d44fc6,3000.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x266e,80,2,Assassin,Common,9838,0xf219904c26044db624b01ce7bee8bf98e64ec619,170000.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x266f,90,2,Siege,Common,9839,0xf219904c26044db624b01ce7bee8bf98e64ec619,170000.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2670,100,2,Ranged,Common,9840,0xf219904c26044db624b01ce7bee8bf98e64ec619,170000.0
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2688,10,2,Spellcaster,Common,9864,0x25de6ee9bb67dca9654259843682be875ab85b5f,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2696,110,2,Spellcaster,Uncommon,9878,0x3a6bfe2b87b4b7d8ec76142d0ada23fce10b74b0,496110.97440623934
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x2698,90,2,Spellcaster,Uncommon,9880,0x3a6bfe2b87b4b7d8ec76142d0ada23fce10b74b0,496110.97440623934
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x269a,40,2,Siege,Common,9882,0x064e2e9c7df51861ac4492551baf1fd6e3286074,6616.912428306356
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x26a8,10,2,Spellcaster,Common,9896,0x25de6ee9bb67dca9654259843682be875ab85b5f,
0xfe8c1ac365ba6780aec5a985d989b327c27670a1-0x26c2,100,2,Ranged,Uncommon,9922,0x8bced9d03f4c3bc59a0bcf91933191285af67268,585000.0
